series_id,window_size,n_windows,series_length,ARIMA_mae,ARIMA_rmse,ARIMA_valid_predictions,Prophet_mae,Prophet_rmse,Prophet_valid_predictions,Linear_mae,Linear_rmse,Linear_valid_predictions,XGBoost_mae,XGBoost_rmse,XGBoost_valid_predictions,dataset,dataset_name,dataset_type,evaluation_type,LSTM_mae,LSTM_rmse,LSTM_valid_predictions,Transformer_mae,Transformer_rmse,Transformer_valid_predictions
multi_seasonal_2,80,20,240,0.771639895782204,0.8890895411006826,20.0,2.0089213772809345,2.377788005273524,20.0,2.21923841787846,2.6403564713619327,20.0,0.9546562335932354,1.1719085937204472,20.0,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,traditional,,,,,,
multi_seasonal_3,80,20,240,0.9066576316877188,1.2669728675599727,20.0,2.0935591410929595,2.4773429380148935,20.0,2.4006862689934323,2.6845525865627002,20.0,1.0969204651108906,1.3550143697826296,20.0,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,traditional,,,,,,
multi_seasonal_4,80,20,240,0.8078579977720128,1.0026580216114238,20.0,2.168299401951311,2.6420836628079547,20.0,2.4506308495563323,2.9248798762075627,20.0,1.2370938787999233,1.478317059233641,20.0,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,traditional,,,,,,
multi_seasonal_0,80,10,240,,,,,,,,,,,,,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,neural,0.739613959832198,0.8297515666258566,10.0,1.01360233073353,1.1876316971664305,10.0
multi_seasonal_1,80,10,240,,,,,,,,,,,,,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,neural,0.499996166255805,0.6795146568995293,10.0,0.7995447480366543,1.0642018484225544,10.0
multi_seasonal_2,80,10,240,,,,,,,,,,,,,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,neural,1.0326564758601329,1.1282572624566805,10.0,1.1484470116138212,1.2880148128185673,10.0
random_walk_0,40,20,120,0.6930589165711549,0.8547265267257359,20.0,1.0680684863993428,1.3978673801168617,20.0,0.9860369452359616,1.2971694883318463,20.0,1.1667370176415046,1.3756174736328233,20.0,random_walk,Synthetic - Random Walk,synthetic,traditional,,,,,,
random_walk_1,40,20,120,0.9624398094751692,1.1857562869553844,20.0,1.3091321167227865,1.5591687592724253,20.0,2.4496287476875462,2.8882982707561027,20.0,2.7505669179467573,3.5577439880313566,20.0,random_walk,Synthetic - Random Walk,synthetic,traditional,,,,,,
random_walk_2,40,20,120,0.9952568735355998,1.161000514506573,20.0,1.2605900536982735,1.5456752623423826,20.0,1.6256201779841284,2.0411300886913146,20.0,3.1139416301260576,3.486312300242912,20.0,random_walk,Synthetic - Random Walk,synthetic,traditional,,,,,,
random_walk_3,40,20,120,0.9482442986342206,1.1546804377060311,20.0,1.0722396067721836,1.2014686411133808,20.0,0.8856696330688884,1.0040160335053139,20.0,1.87147268161986,2.0733004902734877,20.0,random_walk,Synthetic - Random Walk,synthetic,traditional,,,,,,
